month,bidding_no,vehicle_class,quota,bids_success,bids_received,premium
2011-07,1,Category A,514,497,839,55989
2011-07,1,Category B,445,444,728,68501
2011-07,1,Category C,276,276,375,32590
2011-07,1,Category D,325,323,369,2360
2011-07,1,Category E,372,342,509,68811
2011-07,2,Category A,510,501,776,56002
2011-07,2,Category B,436,436,626,72501
2011-07,2,Category C,284,281,393,34502
2011-07,2,Category D,332,332,496,2012
2011-07,2,Category E,335,328,459,74490
2011-08,1,Category A,566,566,1034,48801
2011-08,1,Category B,354,349,469,70890
2011-08,1,Category C,241,239,383,34009
2011-08,1,Category D,390,390,470,1890
2011-08,1,Category E,360,360,488,70117
2011-08,2,Category A,557,557,927,49301
2011-08,2,Category B,353,353,527,65521
2011-08,2,Category C,245,237,367,32289
2011-08,2,Category D,387,382,471,1999
2011-08,2,Category E,337,335,516,67000
2011-09,1,Category A,548,547,794,51000
2011-09,1,Category B,359,356,496,63002
2011-09,1,Category C,243,236,328,31900
2011-09,1,Category D,388,382,532,2339
2011-09,1,Category E,330,329,466,65589
2011-09,2,Category A,548,531,951,48006
2011-09,2,Category B,353,353,469,64889
2011-09,2,Category C,250,248,325,30089
2011-09,2,Category D,392,392,492,2109
2011-09,2,Category E,332,332,449,62502
2011-10,1,Category A,549,549,793,50289
2011-10,1,Category B,356,353,524,63600
2011-10,1,Category C,249,247,348,32801
2011-10,1,Category D,394,394,486,2078
2011-10,1,Category E,331,331,452,65058
2011-10,2,Category A,565,554,873,56112
2011-10,2,Category B,353,353,633,75889
2011-10,2,Category C,244,229,354,37011
2011-10,2,Category D,387,380,486,2091
2011-10,2,Category E,330,306,518,73600
2011-11,1,Category A,548,547,766,55997
2011-11,1,Category B,356,355,551,77000
2011-11,1,Category C,244,244,365,40803
2011-11,1,Category D,388,359,429,2012
2011-11,1,Category E,330,311,507,78001
2011-11,2,Category A,559,541,756,54887
2011-11,2,Category B,353,338,518,77340
2011-11,2,Category C,256,248,335,40189
2011-11,2,Category D,394,389,469,1889
2011-11,2,Category E,355,352,496,75889
2011-12,1,Category A,549,543,781,52392
2011-12,1,Category B,354,351,474,72350
2011-12,1,Category C,242,242,334,40009
2011-12,1,Category D,416,415,451,1902
2011-12,1,Category E,349,335,489,74340
2011-12,2,Category A,566,457,878,50001
2011-12,2,Category B,368,368,464,70003
2011-12,2,Category C,249,249,361,39589
2011-12,2,Category D,392,386,456,1481
2011-12,2,Category E,334,285,521,71000
2012-01,1,Category A,554,554,901,46889
2012-01,1,Category B,356,356,511,65801
2012-01,1,Category C,242,239,357,38699
2012-01,1,Category D,388,386,434,1682
2012-01,1,Category E,344,341,530,65700
2012-01,2,Category A,657,652,903,48112
2012-01,2,Category B,353,351,537,67889
2012-01,2,Category C,241,236,405,44001
2012-01,2,Category D,393,390,517,1552
2012-01,2,Category E,380,375,538,67101
2012-02,1,Category A,619,571,1058,52809
2012-02,1,Category B,350,346,635,73890
2012-02,1,Category C,162,158,307,49801
2012-02,1,Category D,412,409,512,1802
2012-02,1,Category E,312,312,425,73801
2012-02,2,Category A,624,607,1017,57009
2012-02,2,Category B,351,348,580,78189
2012-02,2,Category C,164,149,248,52004
2012-02,2,Category D,413,389,509,2012
2012-02,2,Category E,314,296,507,78000
2012-03,1,Category A,667,649,912,56551
2012-03,1,Category B,354,352,626,79304
2012-03,1,Category C,163,159,247,50009
2012-03,1,Category D,413,407,474,1490
2012-03,1,Category E,309,309,492,76881
2012-03,2,Category A,636,626,1067,56501
2012-03,2,Category B,352,352,529,82003
2012-03,2,Category C,174,174,241,51511
2012-03,2,Category D,434,433,584,2000
2012-03,2,Category E,327,327,449,80101
2012-04,1,Category A,637,615,960,58501
2012-04,1,Category B,352,348,483,83700
2012-04,1,Category C,163,163,222,53989
2012-04,1,Category D,416,416,542,1896
2012-04,1,Category E,309,307,413,84590
2012-04,2,Category A,629,618,1011,64201
2012-04,2,Category B,349,349,563,91000
2012-04,2,Category C,160,158,261,57589
2012-04,2,Category D,411,411,526,1924
2012-04,2,Category E,308,295,447,92010
2012-05,1,Category A,641,593,822,62600
2012-05,1,Category B,354,354,545,92050
2012-05,1,Category C,159,159,218,58553
2012-05,1,Category D,410,410,514,2021
2012-05,1,Category E,311,304,457,88990
2012-05,2,Category A,630,617,945,58001
2012-05,2,Category B,349,349,482,85216
2012-05,2,Category C,162,161,205,57106
2012-05,2,Category D,410,410,520,1890
2012-05,2,Category E,321,312,544,86889
2012-06,1,Category A,668,647,1004,59003
2012-06,1,Category B,350,342,490,83000
2012-06,1,Category C,159,155,258,54522
2012-06,1,Category D,410,368,569,1912
2012-06,1,Category E,315,311,526,85889
2012-06,2,Category A,633,577,920,59004
2012-06,2,Category B,349,346,477,85400
2012-06,2,Category C,161,158,242,54502
2012-06,2,Category D,410,393,517,1712
2012-06,2,Category E,317,315,427,84389
2012-07,1,Category A,641,613,872,59421
2012-07,1,Category B,358,358,459,82289
2012-07,1,Category C,164,161,234,55556
2012-07,1,Category D,451,442,592,1760
2012-07,1,Category E,312,295,410,86999
2012-07,2,Category A,676,669,911,68656
2012-07,2,Category B,353,352,549,90501
2012-07,2,Category C,163,162,222,55805
2012-07,2,Category D,426,425,531,1859
2012-07,2,Category E,310,306,429,92700
2012-08,1,Category A,421,415,724,73501
2012-08,1,Category B,350,345,489,94502
2012-08,1,Category C,183,180,241,57001
2012-08,1,Category D,456,453,659,2081
2012-08,1,Category E,260,258,354,95034
2012-08,2,Category A,400,391,530,66889
2012-08,2,Category B,351,351,532,88002
2012-08,2,Category C,181,178,261,59334
2012-08,2,Category D,448,444,535,2013
2012-08,2,Category E,247,238,301,93990
2012-09,1,Category A,399,391,518,68000
2012-09,1,Category B,355,355,466,80191
2012-09,1,Category C,183,177,269,57334
2012-09,1,Category D,450,450,575,1801
2012-09,1,Category E,245,245,349,87999
2012-09,2,Category A,402,402,486,63000
2012-09,2,Category B,351,349,523,88500
2012-09,2,Category C,182,181,230,57809
2012-09,2,Category D,450,434,566,1852
2012-09,2,Category E,252,245,421,89990
2012-10,1,Category A,401,399,506,69000
2012-10,1,Category B,350,350,414,80001
2012-10,1,Category C,186,185,221,56001
2012-10,1,Category D,447,413,631,1912
2012-10,1,Category E,243,242,312,86889
2012-10,2,Category A,393,390,509,71001
2012-10,2,Category B,353,353,540,85801
2012-10,2,Category C,180,180,229,57889
2012-10,2,Category D,463,462,605,1920
2012-10,2,Category E,249,233,371,87000
2012-11,1,Category A,395,393,621,77201
2012-11,1,Category B,350,350,573,92400
2012-11,1,Category C,181,180,268,59111
2012-11,1,Category D,481,478,580,1959
2012-11,1,Category E,244,241,401,92100
2012-11,2,Category A,396,393,540,77291
2012-11,2,Category B,351,342,487,93004
2012-11,2,Category C,179,177,254,60235
2012-11,2,Category D,448,441,523,1689
2012-11,2,Category E,258,250,352,93990
2012-12,1,Category A,395,378,482,78523
2012-12,1,Category B,350,337,493,90200
2012-12,1,Category C,181,168,281,63035
2012-12,1,Category D,450,435,602,1612
2012-12,1,Category E,246,233,329,97000
2012-12,2,Category A,395,378,499,81889
2012-12,2,Category B,360,360,478,93501
2012-12,2,Category C,182,178,242,62201
2012-12,2,Category D,454,440,522,1701
2012-12,2,Category E,250,241,406,95990
2013-01,1,Category A,410,409,555,92100
2013-01,1,Category B,363,363,470,96210
2013-01,1,Category C,193,188,244,60000
2013-01,1,Category D,462,462,523,1933
2013-01,1,Category E,256,256,393,96101
2013-01,2,Category A,409,409,489,91010
2013-01,2,Category B,351,351,452,95501
2013-01,2,Category C,184,184,262,57051
2013-01,2,Category D,461,461,530,1781
2013-01,2,Category E,251,248,344,97889
2013-02,1,Category A,335,333,418,87109
2013-02,1,Category B,302,278,431,92901
2013-02,1,Category C,230,230,316,54989
2013-02,1,Category D,506,502,637,1782
2013-02,1,Category E,238,221,295,94890
2013-02,2,Category A,333,329,427,78301
2013-02,2,Category B,303,299,409,92667
2013-02,2,Category C,225,225,285,53489
2013-02,2,Category D,506,469,589,1512
2013-02,2,Category E,241,200,370,91910
2013-03,1,Category A,336,329,1180,74689
2013-03,1,Category B,326,326,1028,58090
2013-03,1,Category C,225,223,374,53900
2013-03,1,Category D,510,510,669,1895
2013-03,1,Category E,255,248,1036,65001
2013-03,2,Category A,337,337,923,64209
2013-03,2,Category B,307,300,940,73900
2013-03,2,Category C,225,225,312,54111
2013-03,2,Category D,543,543,634,1909
2013-03,2,Category E,279,277,635,73301
2013-04,1,Category A,341,339,966,61029
2013-04,1,Category B,302,287,835,67010
2013-04,1,Category C,227,227,334,56011
2013-04,1,Category D,506,412,680,1812
2013-04,1,Category E,245,244,450,66989
2013-04,2,Category A,333,333,993,62497
2013-04,2,Category B,310,281,683,62000
2013-04,2,Category C,225,218,354,58502
2013-04,2,Category D,506,505,545,1791
2013-04,2,Category E,240,227,421,62000
2013-05,1,Category A,336,329,912,62999
2013-05,1,Category B,317,317,601,61700
2013-05,1,Category C,225,223,312,57051
2013-05,1,Category D,600,595,719,1700
2013-05,1,Category E,239,238,447,62301
2013-05,2,Category A,333,324,888,64839
2013-05,2,Category B,332,329,749,67304
2013-05,2,Category C,233,232,288,56889
2013-05,2,Category D,507,459,642,1663
2013-05,2,Category E,251,239,466,66701
2013-06,1,Category A,341,336,855,67301
2013-06,1,Category B,302,274,732,75000
2013-06,1,Category C,227,226,292,57989
2013-06,1,Category D,511,479,616,1701
2013-06,1,Category E,239,189,534,76000
2013-06,2,Category A,342,341,788,69903
2013-06,2,Category B,305,304,734,81751
2013-06,2,Category C,227,221,289,59001
2013-06,2,Category D,554,534,647,1712
2013-06,2,Category E,251,250,466,83001
2013-07,1,Category A,338,328,716,73100
2013-07,1,Category B,331,325,652,77110
2013-07,1,Category C,226,226,301,61011
2013-07,1,Category D,538,536,679,1610
2013-07,1,Category E,288,284,485,77000
2013-07,2,Category A,334,332,621,73989
2013-07,2,Category B,303,301,574,76389
2013-07,2,Category C,232,226,335,65036
2013-07,2,Category D,526,516,652,1712
2013-07,2,Category E,240,237,425,76802
2013-08,1,Category A,373,371,754,75556
2013-08,1,Category B,380,373,682,77600
2013-08,1,Category C,258,257,364,68251
2013-08,1,Category D,482,481,568,1792
2013-08,1,Category E,264,261,407,77989
2013-08,2,Category A,366,360,596,76223
2013-08,2,Category B,375,371,627,76607
2013-08,2,Category C,263,257,385,71001
2013-08,2,Category D,491,449,615,1722
2013-08,2,Category E,264,264,385,79223
2013-09,1,Category A,366,365,609,77304
2013-09,1,Category B,381,378,623,77100
2013-09,1,Category C,258,254,340,73999
2013-09,1,Category D,481,481,569,1660
2013-09,1,Category E,263,181,431,80000
2013-09,2,Category A,370,361,654,83751
2013-09,2,Category B,377,368,703,86239
2013-09,2,Category C,263,257,321,76001
2013-09,2,Category D,523,521,579,1703
2013-09,2,Category E,261,253,459,87001
2013-10,1,Category A,365,361,615,85000
2013-10,1,Category B,376,373,649,93500
2013-10,1,Category C,261,261,315,76310
2013-10,1,Category D,481,475,567,1961
2013-10,1,Category E,342,330,483,93889
2013-10,2,Category A,373,373,596,76889
2013-10,2,Category B,382,376,515,87910
2013-10,2,Category C,263,262,358,68002
2013-10,2,Category D,482,481,586,1804
2013-10,2,Category E,269,264,337,92289
2013-11,1,Category A,368,368,590,72609
2013-11,1,Category B,376,376,482,84578
2013-11,1,Category C,257,256,427,55503
2013-11,1,Category D,487,487,569,1710
2013-11,1,Category E,273,270,379,89001
2013-11,2,Category A,364,361,650,74991
2013-11,2,Category B,379,375,536,79300
2013-11,2,Category C,258,252,397,55002
2013-11,2,Category D,481,437,543,1712
2013-11,2,Category E,266,259,410,83000
2013-12,1,Category A,364,364,591,73160
2013-12,1,Category B,373,360,549,73010
2013-12,1,Category C,258,257,359,51112
2013-12,1,Category D,481,473,647,1782
2013-12,1,Category E,264,264,365,76901
2013-12,2,Category A,367,363,574,74002
2013-12,2,Category B,377,357,500,75700
2013-12,2,Category C,263,256,338,48001
2013-12,2,Category D,524,501,680,1812
2013-12,2,Category E,268,268,375,77501
2014-01,1,Category A,364,361,623,72369
2014-01,1,Category B,386,377,581,78700
2014-01,1,Category C,258,252,337,48889
2014-01,1,Category D,489,487,542,1989
2014-01,1,Category E,261,244,392,79000
2014-01,2,Category A,368,364,724,72290
2014-01,2,Category B,393,388,512,79000
2014-01,2,Category C,264,249,356,50001
2014-01,2,Category D,503,503,796,2704
2014-01,2,Category E,261,259,373,78810
2014-02,1,Category A,362,356,719,71564
2014-02,1,Category B,360,360,523,75300
2014-02,1,Category C,267,264,364,51002
2014-02,1,Category D,361,353,550,3051
2014-02,1,Category E,208,205,351,77003
2014-02,2,Category A,362,358,700,77201
2014-02,2,Category B,355,353,519,78604
2014-02,2,Category C,277,273,392,52890
2014-02,2,Category D,360,359,478,3501
2014-02,2,Category E,193,191,321,79000
2014-03,1,Category A,365,356,615,76999
2014-03,1,Category B,350,337,499,80710
2014-03,1,Category C,265,262,439,56302
2014-03,1,Category D,368,340,483,4001
2014-03,1,Category E,193,185,292,82000
2014-03,2,Category A,362,360,577,78602
2014-03,2,Category B,353,352,524,82900
2014-03,2,Category C,266,256,356,53891
2014-03,2,Category D,360,355,449,4289
2014-03,2,Category E,193,192,293,84001
2014-04,1,Category A,367,360,537,77400
2014-04,1,Category B,363,363,523,84504
2014-04,1,Category C,265,261,303,49503
2014-04,1,Category D,388,388,520,4489
2014-04,1,Category E,199,197,283,84100
2014-04,2,Category A,361,357,513,71335
2014-04,2,Category B,351,349,486,75010
2014-04,2,Category C,272,266,392,32890
2014-04,2,Category D,365,350,492,4502
2014-04,2,Category E,192,192,310,73810
2014-05,1,Category A,513,512,676,60002
2014-05,1,Category B,483,472,778,70002
2014-05,1,Category C,389,389,715,36301
2014-05,1,Category D,343,340,445,4001
2014-05,1,Category E,295,295,525,65501
2014-05,2,Category A,509,506,997,65689
2014-05,2,Category B,484,477,716,68103
2014-05,2,Category C,392,386,709,40889
2014-05,2,Category D,358,316,492,4003
2014-05,2,Category E,294,285,497,67290
2014-06,1,Category A,507,499,1040,63190
2014-06,1,Category B,494,484,807,67304
2014-06,1,Category C,385,378,617,43001
2014-06,1,Category D,346,346,449,4089
2014-06,1,Category E,293,292,465,67334
2014-06,2,Category A,509,506,1040,61899
2014-06,2,Category B,490,475,716,65700
2014-06,2,Category C,391,385,597,42001
2014-06,2,Category D,385,381,503,3890
2014-06,2,Category E,302,276,434,65301
2014-07,1,Category A,513,511,1075,61990
2014-07,1,Category B,493,491,812,64889
2014-07,1,Category C,392,383,653,43390
2014-07,1,Category D,344,343,415,4001
2014-07,1,Category E,294,288,441,63001
2014-07,2,Category A,509,505,1190,62890
2014-07,2,Category B,498,497,850,65001
2014-07,2,Category C,391,391,779,52010
2014-07,2,Category D,347,341,410,4252
2014-07,2,Category E,319,317,483,65002
2014-08,1,Category A,574,574,1086,64600
2014-08,1,Category B,507,501,1090,68689
2014-08,1,Category C,267,267,519,54009
2014-08,1,Category D,316,315,360,4353
2014-08,1,Category E,245,243,429,69001
2014-08,2,Category A,575,574,994,65710
2014-08,2,Category B,506,502,1137,72990
2014-08,2,Category C,257,254,427,52390
2014-08,2,Category D,322,317,361,4354
2014-08,2,Category E,241,224,358,72810
2014-09,1,Category A,572,568,813,64841
2014-09,1,Category B,511,511,909,73010
2014-09,1,Category C,258,256,429,49901
2014-09,1,Category D,316,316,382,4453
2014-09,1,Category E,241,235,385,74403
2014-09,2,Category A,573,573,792,62000
2014-09,2,Category B,509,507,785,71990
2014-09,2,Category C,261,252,437,49889
2014-09,2,Category D,320,318,394,4504
2014-09,2,Category E,256,252,395,74801
2014-10,1,Category A,575,570,1097,63880
2014-10,1,Category B,505,501,852,72180
2014-10,1,Category C,259,257,516,57389
2014-10,1,Category D,316,316,502,4800
2014-10,1,Category E,245,236,390,72003
2014-10,2,Category A,572,569,1092,63990
2014-10,2,Category B,507,506,822,72002
2014-10,2,Category C,267,266,416,61000
2014-10,2,Category D,317,310,431,4412
2014-10,2,Category E,242,242,335,72201
2014-11,1,Category A,703,692,1196,64900
2014-11,1,Category B,574,559,832,70890
2014-11,1,Category C,143,143,257,63701
2014-11,1,Category D,316,315,380,4290
2014-11,1,Category E,272,271,403,71300
2014-11,2,Category A,701,694,1144,67889
2014-11,2,Category B,570,560,900,72890
2014-11,2,Category C,142,134,260,65001
2014-11,2,Category D,324,322,389,4189
2014-11,2,Category E,263,263,382,73900
2014-12,1,Category A,709,703,996,67089
2014-12,1,Category B,584,582,873,74389
2014-12,1,Category C,141,126,196,60001
2014-12,1,Category D,318,314,392,4210
2014-12,1,Category E,265,257,370,76904
2014-12,2,Category A,705,699,868,65889
2014-12,2,Category B,579,572,755,74000
2014-12,2,Category C,149,149,268,52100
2014-12,2,Category D,319,270,367,4312
2014-12,2,Category E,264,264,446,73990
2015-01,1,Category A,704,698,940,66010
2015-01,1,Category B,571,570,833,75289
2015-01,1,Category C,156,155,296,55011
2015-01,1,Category D,321,319,374,4403
2015-01,1,Category E,272,265,386,75200
2015-01,2,Category A,705,703,1068,65001
2015-01,2,Category B,576,576,915,76889
2015-01,2,Category C,140,139,247,55012
2015-01,2,Category D,366,360,509,4889
2015-01,2,Category E,264,246,431,76790
2015-02,1,Category A,992,991,1295,62002
2015-02,1,Category B,724,723,959,70890
2015-02,1,Category C,185,183,311,52101
2015-02,1,Category D,287,283,384,5504
2015-02,1,Category E,181,181,288,71921
2015-02,2,Category A,988,988,1294,57199
2015-02,2,Category B,722,721,1037,66751
2015-02,2,Category C,185,185,333,53202
2015-02,2,Category D,291,290,396,5800
2015-02,2,Category E,193,193,373,67901
2015-03,1,Category A,987,986,2120,61410
2015-03,1,Category B,723,723,1239,68668
2015-03,1,Category C,186,183,315,56501
2015-03,1,Category D,289,288,343,5501
2015-03,1,Category E,175,162,322,70500
2015-03,2,Category A,987,987,2251,64700
2015-03,2,Category B,723,717,1354,71889
2015-03,2,Category C,184,175,345,59999
2015-03,2,Category D,286,286,385,5610
2015-03,2,Category E,174,172,290,72100
2015-04,1,Category A,988,970,2340,67749
2015-04,1,Category B,722,716,1661,76612
2015-04,1,Category C,188,183,290,64001
2015-04,1,Category D,286,278,442,6312
2015-04,1,Category E,187,165,311,78000
2015-04,2,Category A,987,979,2055,67601
2015-04,2,Category B,728,708,1525,78001
2015-04,2,Category C,194,192,284,53001
2015-04,2,Category D,285,277,376,6801
2015-04,2,Category E,176,163,331,79500
2015-05,1,Category A,1444,1438,2891,68589
2015-05,1,Category B,934,934,1631,77600
2015-05,1,Category C,373,370,545,50098
2015-05,1,Category D,334,321,462,6512
2015-05,1,Category E,292,290,445,78004
2015-05,2,Category A,1434,1431,2351,66590
2015-05,2,Category B,948,948,1401,75002
2015-05,2,Category C,370,365,546,52001
2015-05,2,Category D,334,298,433,6501
2015-05,2,Category E,283,281,364,78001
2015-06,1,Category A,1432,1393,1943,66000
2015-06,1,Category B,929,923,1384,75000
2015-06,1,Category C,371,369,508,50900
2015-06,1,Category D,339,336,430,6509
2015-06,1,Category E,272,267,392,75801
2015-06,2,Category A,1429,1421,1766,61000
2015-06,2,Category B,928,926,1144,71509
2015-06,2,Category C,373,370,481,50502
2015-06,2,Category D,363,359,448,6401
2015-06,2,Category E,272,269,373,74501
2015-07,1,Category A,1466,1464,1891,58700
2015-07,1,Category B,934,933,1225,65501
2015-07,1,Category C,370,370,476,50001
2015-07,1,Category D,330,328,425,6508
2015-07,1,Category E,274,272,411,69001
2015-07,2,Category A,1435,1365,1966,55889
2015-07,2,Category B,930,929,1218,58109
2015-07,2,Category C,371,371,455,50002
2015-07,2,Category D,331,320,486,6312
2015-07,2,Category E,272,270,441,60101
2015-08,1,Category A,1688,1687,2446,56209
2015-08,1,Category B,1057,1054,1634,60789
2015-08,1,Category C,183,183,263,49302
2015-08,1,Category D,356,356,418,6201
2015-08,1,Category E,363,361,607,57885
2015-08,2,Category A,1756,1756,2597,57498
2015-08,2,Category B,1058,1056,1551,62140
2015-08,2,Category C,182,182,282,46501
2015-08,2,Category D,366,319,527,6112
2015-08,2,Category E,363,356,609,61001
2015-09,1,Category A,1688,1688,2553,57089
2015-09,1,Category B,1059,1058,1628,62101
2015-09,1,Category C,182,182,371,46801
2015-09,1,Category D,355,310,473,6512
2015-09,1,Category E,363,358,580,61010
2015-09,2,Category A,1687,1684,2276,55399
2015-09,2,Category B,1058,1041,1371,60001
2015-09,2,Category C,182,172,356,45289
2015-09,2,Category D,402,402,509,6158
2015-09,2,Category E,368,368,542,61300
2015-10,1,Category A,1687,1679,2210,56001
