year,level,course,sex,enrolment_secondary
1983,Secondary 5,Normal (Acad),F,0
1984,Secondary 1,Express,MF,21287
1984,Secondary 1,Express,F,11005
1984,Secondary 1,Normal (Acad),MF,14599
1984,Secondary 1,Normal (Acad),F,6866
1984,Secondary 1,Normal (Tech),MF,0
1984,Secondary 1,Normal (Tech),F,0
1984,Secondary 1,Special,MF,1675
1984,Secondary 1,Special,F,899
1984,Secondary 2,Express,MF,22583
1984,Secondary 2,Express,F,11650
1984,Secondary 2,Normal (Acad),MF,14481
1984,Secondary 2,Normal (Acad),F,6646
1984,Secondary 2,Normal (Tech),MF,0
1984,Secondary 2,Normal (Tech),F,0
1984,Secondary 2,Special,MF,1316
1984,Secondary 2,Special,F,690
1984,Secondary 3,Express,MF,20551
1984,Secondary 3,Express,F,10557
1984,Secondary 3,Normal (Acad),MF,16954
1984,Secondary 3,Normal (Acad),F,8150
1984,Secondary 3,Normal (Tech),MF,0
1984,Secondary 3,Normal (Tech),F,0
1984,Secondary 3,Special,MF,1481
1984,Secondary 3,Special,F,790
1984,Secondary 4,Express,MF,33352
1984,Secondary 4,Express,F,17125
1984,Secondary 4,Normal (Acad),MF,14325
1984,Secondary 4,Normal (Acad),F,6651
1984,Secondary 4,Normal (Tech),MF,0
1984,Secondary 4,Normal (Tech),F,0
1984,Secondary 4,Special,MF,1770
1984,Secondary 4,Special,F,895
1984,Secondary 5,Normal (Acad),MF,0
1984,Secondary 5,Normal (Acad),F,0
1985,Secondary 1,Express,MF,24284
1985,Secondary 1,Express,F,12287
1985,Secondary 1,Normal (Acad),MF,15793
1985,Secondary 1,Normal (Acad),F,7420
1985,Secondary 1,Normal (Tech),MF,0
1985,Secondary 1,Normal (Tech),F,0
1985,Secondary 1,Special,MF,2120
1985,Secondary 1,Special,F,1109
1985,Secondary 2,Express,MF,22307
1985,Secondary 2,Express,F,11391
1985,Secondary 2,Normal (Acad),MF,13352
1985,Secondary 2,Normal (Acad),F,6381
1985,Secondary 2,Normal (Tech),MF,0
1985,Secondary 2,Normal (Tech),F,0
1985,Secondary 2,Special,MF,1757
1985,Secondary 2,Special,F,955
1985,Secondary 3,Express,MF,22923
1985,Secondary 3,Express,F,11807
1985,Secondary 3,Normal (Acad),MF,13930
1985,Secondary 3,Normal (Acad),F,6495
1985,Secondary 3,Normal (Tech),MF,0
1985,Secondary 3,Normal (Tech),F,0
1985,Secondary 3,Special,MF,1316
1985,Secondary 3,Special,F,692
1985,Secondary 4,Express,MF,23821
1985,Secondary 4,Express,F,12194
1985,Secondary 4,Normal (Acad),MF,16593
1985,Secondary 4,Normal (Acad),F,8183
1985,Secondary 4,Normal (Tech),MF,0
1985,Secondary 4,Normal (Tech),F,0
1985,Secondary 4,Special,MF,1454
1985,Secondary 4,Special,F,777
1985,Secondary 5,Normal (Acad),MF,3940
1985,Secondary 5,Normal (Acad),F,1846
1986,Secondary 1,Express,MF,23398
1986,Secondary 1,Express,F,11701
1986,Secondary 1,Normal (Acad),MF,15670
1986,Secondary 1,Normal (Acad),F,7264
1986,Secondary 1,Normal (Tech),MF,0
1986,Secondary 1,Normal (Tech),F,0
1986,Secondary 1,Special,MF,2183
1986,Secondary 1,Special,F,1030
1986,Secondary 2,Express,MF,25106
1986,Secondary 2,Express,F,12618
1986,Secondary 2,Normal (Acad),MF,14561
1986,Secondary 2,Normal (Acad),F,6917
1986,Secondary 2,Normal (Tech),MF,0
1986,Secondary 2,Normal (Tech),F,0
1986,Secondary 2,Special,MF,2190
1986,Secondary 2,Special,F,1138
1986,Secondary 3,Express,MF,22816
1986,Secondary 3,Express,F,11641
1986,Secondary 3,Normal (Acad),MF,12836
1986,Secondary 3,Normal (Acad),F,6199
1986,Secondary 3,Normal (Tech),MF,0
1986,Secondary 3,Normal (Tech),F,0
1986,Secondary 3,Special,MF,1807
1986,Secondary 3,Special,F,977
1986,Secondary 4,Express,MF,24330
1986,Secondary 4,Express,F,12613
1986,Secondary 4,Normal (Acad),MF,14116
1986,Secondary 4,Normal (Acad),F,6623
1986,Secondary 4,Normal (Tech),MF,0
1986,Secondary 4,Normal (Tech),F,0
1986,Secondary 4,Special,MF,1305
1986,Secondary 4,Special,F,690
1986,Secondary 5,Normal (Acad),MF,13220
1986,Secondary 5,Normal (Acad),F,6525
1987,Secondary 1,Express,MF,22370
1987,Secondary 1,Express,F,11061
1987,Secondary 1,Normal (Acad),MF,14448
1987,Secondary 1,Normal (Acad),F,6787
1987,Secondary 1,Normal (Tech),MF,0
1987,Secondary 1,Normal (Tech),F,0
1987,Secondary 1,Special,MF,2169
1987,Secondary 1,Special,F,1056
1987,Secondary 2,Express,MF,24238
1987,Secondary 2,Express,F,12155
1987,Secondary 2,Normal (Acad),MF,14396
1987,Secondary 2,Normal (Acad),F,6669
1987,Secondary 2,Normal (Tech),MF,0
1987,Secondary 2,Normal (Tech),F,0
