year,level,course,sex,enrolment_preu
1984,Pre-University 2,Science,MF,553
1984,Pre-University 2,Science,F,247
1984,Pre-University 3,Arts,MF,483
1984,Pre-University 3,Arts,F,327
1984,Pre-University 3,Commerce,MF,1015
1984,Pre-University 3,Commerce,F,658
1984,Pre-University 3,Science,MF,406
1984,Pre-University 3,Science,F,148
1985,Junior College 1,Arts,MF,2061
1985,Junior College 1,Arts,F,1534
1985,Junior College 1,Commerce,MF,2131
1985,Junior College 1,Commerce,F,1589
1985,Junior College 1,Science,MF,5636
1985,Junior College 1,Science,F,2147
1985,Junior College 2,Arts,MF,1425
1985,Junior College 2,Arts,F,1015
1985,Junior College 2,Commerce,MF,1792
1985,Junior College 2,Commerce,F,1340
1985,Junior College 2,Science,MF,4609
1985,Junior College 2,Science,F,1761
1985,Pre-University 1,Arts,MF,788
1985,Pre-University 1,Arts,F,488
1985,Pre-University 1,Commerce,MF,1264
1985,Pre-University 1,Commerce,F,889
1985,Pre-University 1,Science,MF,415
1985,Pre-University 1,Science,F,173
1985,Pre-University 2,Arts,MF,716
1985,Pre-University 2,Arts,F,419
1985,Pre-University 2,Commerce,MF,1046
1985,Pre-University 2,Commerce,F,720
1985,Pre-University 2,Science,MF,402
1985,Pre-University 2,Science,F,170
1985,Pre-University 3,Arts,MF,750
1985,Pre-University 3,Arts,F,497
1985,Pre-University 3,Commerce,MF,1103
1985,Pre-University 3,Commerce,F,739
1985,Pre-University 3,Science,MF,561
1985,Pre-University 3,Science,F,249
1986,Junior College 1,Arts,MF,2259
1986,Junior College 1,Arts,F,1615
1986,Junior College 1,Commerce,MF,2721
1986,Junior College 1,Commerce,F,1961
1986,Junior College 1,Science,MF,6100
1986,Junior College 1,Science,F,2172
1986,Junior College 2,Arts,MF,2028
1986,Junior College 2,Arts,F,1515
1986,Junior College 2,Commerce,MF,2133
1986,Junior College 2,Commerce,F,1596
1986,Junior College 2,Science,MF,5485
1986,Junior College 2,Science,F,2076
1986,Pre-University 1,Arts,MF,816
1986,Pre-University 1,Arts,F,480
1986,Pre-University 1,Commerce,MF,1273
1986,Pre-University 1,Commerce,F,864
1986,Pre-University 1,Science,MF,385
1986,Pre-University 1,Science,F,146
1986,Pre-University 2,Arts,MF,734
1986,Pre-University 2,Arts,F,460
1986,Pre-University 2,Commerce,MF,1186
1986,Pre-University 2,Commerce,F,845
1986,Pre-University 2,Science,MF,351
1986,Pre-University 2,Science,F,150
1986,Pre-University 3,Arts,MF,715
1986,Pre-University 3,Arts,F,428
1986,Pre-University 3,Commerce,MF,1011
1986,Pre-University 3,Commerce,F,696
1986,Pre-University 3,Science,MF,401
1986,Pre-University 3,Science,F,164
1987,Junior College 1,Arts,MF,2744
1987,Junior College 1,Arts,F,1935
1987,Junior College 1,Commerce,MF,2633
1987,Junior College 1,Commerce,F,1909
1987,Junior College 1,Science,MF,6507
